mb_sample_id	local_sample_id	Brain region	Age	Gender
SA150479	LA_F5_TL	Thalamus	59 weeks	Female
SA150480	LA_F4_TL	Thalamus	59 weeks	Female
SA150481	LA_F2_TL	Thalamus	59 weeks	Female
SA150482	LA_F6_TL	Thalamus	59 weeks	Female
SA150483	LA_F1_TL	Thalamus	59 weeks	Female
SA150484	LA_F3_TL	Thalamus	59 weeks	Female
SA150485	LA_F8_TL	Thalamus	59 weeks	Female
SA150486	LA_F7_TL	Thalamus	59 weeks	Female
SA150487	LA_M6_TL	Thalamus	59 weeks	Male
SA150488	LA_M7_TL	Thalamus	59 weeks	Male
SA150489	LA_M8_TL	Thalamus	59 weeks	Male
SA150490	LA_M5_TL	Thalamus	59 weeks	Male
SA150491	LA_M4_TL	Thalamus	59 weeks	Male
SA150492	LA_M1_TL	Thalamus	59 weeks	Male
SA150493	LA_M2_TL	Thalamus	59 weeks	Male
SA150494	LA_M3_TL	Thalamus	59 weeks	Male
